"movie_id","credit_id","department","gender","id","job","name","profile_path"
"16420","5462510ec3a368082d000121","Writing","2","6210","Writer","William Shakespeare","/2z4njqosEQM4g26ttb9grG9rJUg.jpg"
"16420","52fe46d29251416c75084b07","Directing","2","56710","Director","Oliver Parker","/3qdUN7qhcQn4P3tEOTKJgTUdCIr.jpg"
"16420","54625118c3a368081300010e","Writing","2","56710","Adaptation","Oliver Parker","/3qdUN7qhcQn4P3tEOTKJgTUdCIr.jpg"
"31174","52fe44669251416c9100f5a3","Directing","2","33315","Director","Richard Loncraine","/j700yY5SyI1EZegFpL4h77Otu5W.jpg"
"31174","546110c3c3a3686f31000401","Writing","2","6210","Theatre Play","William Shakespeare","/2z4njqosEQM4g26ttb9grG9rJUg.jpg"
"31174","546110d00e0a2672aa0003d7","Writing","2","1327","Writer","Ian McKellen","/coWjgMEYJjk2OrNddlXCBm8EIr3.jpg"
"31174","546110dcc3a3686f350003e8","Writing","2","33315","Writer","Richard Loncraine","/j700yY5SyI1EZegFpL4h77Otu5W.jpg"
"48750","52fe4773c3a36847f81365ef","Directing","2","16862","Director","Claude Lelouch","/ngmASNQKQLSMriQajGZKaEcWcqc.jpg"
"48750","52fe4773c3a36847f81365f5","Writing","2","37127","Writer","Victor Hugo","/hmuqFVKbpXDXgeT40hQdghgdlJy.jpg"
"48750","52fe4773c3a36847f81365fb","Writing","2","16862","Writer","Claude Lelouch","/ngmASNQKQLSMriQajGZKaEcWcqc.jpg"
"46785","546e168cc3a36817e300003f","Writing","0","119294","Writer","Abbas Kiarostami","/bK2PXoGS1hcCzGd9OoIkTnJyEYX.jpg"
"46785","52fe470cc3a36847f8120b1d","Directing","2","120229","Director","Jafar Panahi","/a8HN99enx3plYkpb1UK1Jl6qnmS.jpg"
"188588","52fe4d3c9251416c7513477d","Directing","2","117075","Director","Henry Jaglom","/yJRN22AlH1sDNXrq8rNqvL5ZpVo.jpg"
"47475","52fe4735c3a36847f81291bf","Directing","2","14692","Director","Nick Castle","/ecUHW93fTzJLCEZcpfvfjgNMi1o.jpg"
"55475","580cd8b1925141713b00e915","Directing","2","114997","Director","Ángel Muñiz","/2yQONSSr9ENOppber9WuHvb16WR.jpg"
"55475","580cd9d5c3a368258f00e233","Writing","2","114997","Writer","Ángel Muñiz","/2yQONSSr9ENOppber9WuHvb16WR.jpg"
"20649","52fe43f2c3a368484e007465","Directing","2","5281","Director","Spike Lee","/zTsaE7GrLnOV62NmSrr6hll1G5Y.jpg"
"20649","52fe43f2c3a368484e00746b","Writing","2","5281","Screenplay","Spike Lee","/zTsaE7GrLnOV62NmSrr6hll1G5Y.jpg"
"20649","52fe43f2c3a368484e007471","Writing","0","2989","Screenplay","Richard Price","/lGGzvyUTDwhzSrY5PyW63tvy9cg.jpg"
"52856","5494e3efc3a3686ae9002d1c","Writing","2","2163","Screenplay","Richard LaGravenese","/8AF47SFj7L50qpWIz8PmdOEcU62.jpg"
"52856","52fe4846c3a36847f815f50f","Directing","1","3092","Director","Diane Keaton","/fzgUMnbOkxC6E3EFcYHWHFaiKyp.jpg"
"65796","52fe471ac3a368484e0b5209","Directing","2","1723","Director","Walter Hill","/gCU3dgnNaZuvmArtBJgjCUMmimd.jpg"
"65796","546107e70e0a2672bc000321","Writing","2","1723","Screenplay","Walter Hill","/gCU3dgnNaZuvmArtBJgjCUMmimd.jpg"
"20156","52fe43d9c3a368484e001de9","Directing","2","56205","Director","Atom Egoyan","/3lARbiaNDZbN0LBpXHNuSM9U4ur.jpg"
"20156","52fe43d9c3a368484e001e27","Writing","2","56205","Writer","Atom Egoyan","/3lARbiaNDZbN0LBpXHNuSM9U4ur.jpg"
"27985","52fe4571c3a368484e05b4b7","Directing","0","148119","Director","Phillip Borsos","/fIwPoBbTvv9sXrqEPmclkjJCI57.jpg"
"27985","52fe4571c3a368484e05b4c5","Writing","0","148119","Writer","Phillip Borsos","/fIwPoBbTvv9sXrqEPmclkjJCI57.jpg"
"43475","52fe464ac3a36847f80f6d61","Directing","0","129534","Director","Art Clokey","/bunDvu4DlAf3ZqH78OUR0SIMCwA.jpg"
"14819","52fe461d9251416c7506d919","Directing","2","32593","Director","Steven Brill","/9CpoLVxDKV2XRF3rigTNSVimJK1.jpg"
"14819","52fe461d9251416c7506d91f","Writing","2","32593","Author","Steven Brill","/9CpoLVxDKV2XRF3rigTNSVimJK1.jpg"
"14819","52fe461d9251416c7506d925","Writing","2","41039","Author","Judd Apatow","/yv7aCCmWP4FOFd2COGTUpb9ieY8.jpg"
"32631","52fe44df9251416c9101fc3b","Directing","2","1203","Director","J. F. Lawton","/b3EoYJqYlYwNjmBX4Be0iByMoPD.jpg"
"32631","52fe44df9251416c9101fc41","Writing","2","1203","Writer","J. F. Lawton","/b3EoYJqYlYwNjmBX4Be0iByMoPD.jpg"
"17402","52fe47239251416c7508eecf","Directing","2","5065","Director","David Frankel","/l71Hbg4JVoo7GiVZc5PGthmNrdu.jpg"
"17402","52fe47239251416c7508eed5","Writing","2","5065","Writer","David Frankel","/l71Hbg4JVoo7GiVZc5PGthmNrdu.jpg"
"38722","52fe46d69251416c910616a9","Directing","2","16395","Director","Gregory Nava","/n7P75gJWuUhvJKzVw6hJeL8rDoP.jpg"
"38722","52fe46d69251416c910616af","Writing","2","16395","Writer","Gregory Nava","/n7P75gJWuUhvJKzVw6hJeL8rDoP.jpg"
"38722","590ad59d9251414f8d010df7","Production","2","1776","Executive Producer","Francis Ford Coppola","/vEGwqahu7UlI6OwELy92xbXk9Kd.jpg"
"41478","52fe45cdc3a36847f80db1ff","Directing","2","16214","Director","Mario Van Peebles","/ciIe7kUrTA2nL8dPDA4L88DcBZX.jpg"
"41478","52fe45cdc3a36847f80db229","Writing","0","135650","Writer","Melvin Van Peebles","/ddQPAHTf764jN1V8S34BnGGzRT0.jpg"
"41478","5973a4b4c3a3685e0f002da3","Production","2","380","Producer","Robert De Niro","/lvTSwUcvJRLAJ2FB5qFaukel516.jpg"
"161495","5420cabcc3a36818c3000390","Directing","2","12804","Director","Peter Yates","/skBRJxvtvkylZXk6zjNPvwytr5S.jpg"
"28033","52fe4574c3a368484e05bff5","Directing","2","1524","Director","Harold Ramis","/dFERLL9HGBw9xGMwDQRuhUgAneI.jpg"
"28033","52fe4574c3a368484e05bffb","Writing","2","65348","Screenplay","Al Franken","/ynVu5T7vxiGkpHtXF6UAxTyna4S.jpg"
"28033","52fe4574c3a368484e05c001","Writing","2","65348","Novel","Al Franken","/ynVu5T7vxiGkpHtXF6UAxTyna4S.jpg"
"28033","573523d2c3a368025800058c","Production","0","4952","Casting","Nancy Foy","/blCkmS4dqNsbPGuQfozHE6wgWBw.jpg"
"1587","52fe4301c3a36847f80336af","Directing","2","5306","Director","Lasse Hallström","/tVnakJ0RWFj3eaUIJkzubTzmKXv.jpg"
"1587","52fe4301c3a36847f80336b5","Writing","2","3290","Novel","Peter Hedges","/f9LzlH4veKD7XFMbB2xEUg53fhj.jpg"
"1587","52fe4301c3a36847f80336bb","Writing","2","3290","Screenplay","Peter Hedges","/f9LzlH4veKD7XFMbB2xEUg53fhj.jpg"
"48992","52fe477ec3a36847f8138c63","Directing","1","81727","Director","Darnell Martin","/ugRwckDCMqD9TKUuOhiciiyJwKY.jpg"
"48992","545822bfc3a36839ac00066c","Writing","1","81727","Writer","Darnell Martin","/ugRwckDCMqD9TKUuOhiciiyJwKY.jpg"
"15128","54591cb50e0a26116500217d","Writing","2","1224549","Screenplay","Robert King","/fCeDPxdYWQDkbFKvDFQr8Csyi8T.jpg"
"15128","52fe463c9251416c75071bdf","Directing","2","33485","Director","Ron Underwood","/6Que5sFtOzJ0q4D7vrFqG60sdzG.jpg"
"15128","562375adc3a3680e0e00e57e","Production","2","16938","Producer","Renny Harlin","/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg"
"26352","52fe44fcc3a368484e042457","Directing","2","35689","Director","Keenen Ivory Wayans","/4uCVzk6JrNflrqWyzkPhLuwZzoC.jpg"
"26352","52fe44fcc3a368484e04245d","Writing","2","35689","Writer","Keenen Ivory Wayans","/4uCVzk6JrNflrqWyzkPhLuwZzoC.jpg"
"32502","568080ef9251414d98004821","Directing","2","486","Director","Wallace Wolodarsky","/dvmEq92L4UwL20uO2BOQ8vnpPBP.jpg"
"203119","52fe4cd9c3a368484e1c99b1","Directing","2","4040","Director","Robert Wuhl","/7bboXtHrq8qOtQBdcZko3KJfFyH.jpg"
"203119","52fe4cd9c3a368484e1c99b7","Writing","2","4040","Screenplay","Robert Wuhl","/7bboXtHrq8qOtQBdcZko3KJfFyH.jpg"
"171857","52fe4d15c3a36847f824db85","Directing","2","77076","Director","Michael Corrente","/5ZZRgK9fonWGJt3rfeidwgCTkDd.jpg"
"38129","52fe46979251416c910594c3","Directing","2","15106","Director","Thomas Schlamme","/qwpO1XxptBjW5MAMET9suEopddp.jpg"
"38129","52fe46979251416c910594c9","Writing","2","78029","Writer","Martin Lawrence","/uBVQuIdS3wGCpYaZFEeKZBuiZ2l.jpg"
"16771","52fe46ea9251416c75087b73","Directing","2","78188","Director","Whit Stillman","/9LXExrWE8yOxvbUYFzP6mkF56IG.jpg"
"16771","52fe46ea9251416c75087b85","Writing","2","78188","Screenplay","Whit Stillman","/9LXExrWE8yOxvbUYFzP6mkF56IG.jpg"
"26203","52fe44f4c3a368484e040427","Writing","0","11898","Screenplay","Dana Stevens","/pdK5UhGLwPUhCMXoFo4qHZaL7Q2.jpg"
"26203","52fe44f4c3a368484e040421","Directing","2","10781","Director","Michael Apted","/j5KoJlZUepN36ZD8VoDLuvV5BG5.jpg"
"24257","52fe448dc3a368484e029383","Directing","2","86","Director","Bruce Brown","/t2yDx3OLqFNzCjIOWIjEHbzrRcb.jpg"
"20239","52fe43dec3a368484e002cfb","Directing","2","141825","Director","Rusty Cundieff","/qRxHN1pX9Qq05nhpJnxeXa8dJVP.jpg"
"20239","578a96b6c3a36832980008d7","Writing","2","141825","Writer","Rusty Cundieff","/qRxHN1pX9Qq05nhpJnxeXa8dJVP.jpg"
"18551","52fe47859251416c7509c769","Directing","2","10967","Director","Steve Kloves","/nhHzMwSiVse15WF1Qi7xfVBoo7A.jpg"
"18551","53a8add40e0a261445006629","Writing","2","10967","Writer","Steve Kloves","/nhHzMwSiVse15WF1Qi7xfVBoo7A.jpg"
"11934","52fe44a49251416c7503be3f","Camera","2","151","Director of Photography","Roger Deakins","/osGe7eLKNIErFLn1RHJDeYTYOmb.jpg"
"11934","52fe44a49251416c7503be05","Writing","0","1223","Screenplay","Joel Coen","/rgVaJNkZCgMarUcZuUAsVfXMWk3.jpg"
